hook	sample	latency_ms
bash-watcher	25	79.77
bash-watcher	26	97.42
bash-watcher	27	69.40
bash-watcher	28	72.94
bash-watcher	29	81.37
bash-watcher	30	75.14
bash-watcher	31	78.75
bash-watcher	32	65.10
bash-watcher	33	74.19
bash-watcher	34	72.57
bash-watcher	35	70.20
bash-watcher	36	71.47
bash-watcher	37	63.91
bash-watcher	38	67.63
bash-watcher	39	397.35
bash-watcher	40	172.53
bash-watcher	41	143.26
bash-watcher	42	84.26
bash-watcher	43	76.36
bash-watcher	44	76.74
bash-watcher	45	76.92
bash-watcher	46	70.12
bash-watcher	47	64.60
bash-watcher	48	68.51
bash-watcher	49	81.46
bash-watcher	50	78.95
bash-watcher	51	113.17
bash-watcher	52	70.65
bash-watcher	53	73.32
bash-watcher	54	66.00
bash-watcher	55	60.71
bash-watcher	56	63.24
bash-watcher	57	66.14
bash-watcher	58	65.01
bash-watcher	59	62.04
bash-watcher	60	69.59
bash-watcher	61	64.29
bash-watcher	62	59.15
bash-watcher	63	58.13
bash-watcher	64	56.88
bash-watcher	65	59.03
bash-watcher	66	60.96
bash-watcher	67	58.46
bash-watcher	68	67.83
bash-watcher	69	59.57
bash-watcher	70	58.92
bash-watcher	71	70.71
bash-watcher	72	58.80
bash-watcher	73	58.90
bash-watcher	74	59.38
bash-watcher	75	81.81
bash-watcher	76	62.80
bash-watcher	77	61.08
bash-watcher	78	61.07
bash-watcher	79	68.11
bash-watcher	80	75.40
bash-watcher	81	60.85
bash-watcher	82	78.36
bash-watcher	83	59.63
bash-watcher	84	62.81
bash-watcher	85	57.73
bash-watcher	86	61.34
bash-watcher	87	60.13
bash-watcher	88	73.54
bash-watcher	89	59.91
bash-watcher	90	61.33
bash-watcher	91	62.54
bash-watcher	92	70.87
bash-watcher	93	118.31
bash-watcher	94	69.28
bash-watcher	95	66.27
bash-watcher	96	67.36
bash-watcher	97	77.67
bash-watcher	98	66.92
bash-watcher	99	58.26
bash-watcher	100	76.98
